full_name,shirt_name,age,position,shirt_number,player_text,birth_date,birth_city,height,player_full_image_url
Mayke Rocha de Oliveira,Mayke,31 anos,Lateral-Direito,12,"Com o título brasileiro conquistado em 2023, Mayke se tornou o quarto atleta com mais troféus na história do Palmeiras (11, ao lado de Weverton, Gustavo Gómez, Marcos Rocha, Waldemar Fiume e Lima) e entrou para o Top 10 dos maiores campeões da história do Campeonato Brasileiro, com cinco no total da carreira (sendo dois pelo Cruzeiro), ao lado de Ademir da Guia, Dudu (volante), Coutinho, Mauro, Mengálvio e Dagoberto e atrás apenas de Pelé, Pepe e Lima, com seis. Nos pontos corridos, se isolou como maior campeão.
Mayke era o camisa 10 do Siderúrgica de Sabará-MG quando chamou a atenção de olheiros do Cruzeiro em uma Taça BH de Juniores. Na Raposa, virou lateral-direito e, logo aos 21 anos, conquistou seu primeiro título de Brasileirão, em 2013, recebendo também o prêmio Bola de Prata como melhor de sua posição. No ano seguinte, voltou a ser campeão nacional pelo time celeste como um dos protagonistas.
Chegou ao Palmeiras em 2017 e foi fundamental no título brasileiro conquistado pelo Verdão em 2018 – faturou, inclusive, mais uma Bola de Prata. Com o técnico Abel Ferreira, em 2020, mostrou polivalência ao desempenhar funções diferentes dentro das quatro linhas, como, por exemplo, sendo titular na lateral esquerda em uma das partidas da vitoriosa campanha alviverde na Libertadores e atuando como atacante pelo lado direito durante os minutos finais das duas decisões da Copa do Brasil.
Por conta da suspensão de Marcos Rocha, Mayke foi titular e teve grande atuação na grande decisão da Libertadores 2021 contra o Flamengo, em Montevidéu, no Uruguai, sendo, inclusive, o responsável pela assistência do primeiro gol palestrino na vitória por 2 a 1 – o jogador deu o passe para Raphael Veiga abrir o placar diante do rival carioca.
Já na temporada 2022, Mayke foi decisivo atuando em uma posição que nunca havia desempenhado dentro do Palmeiras: a de atacante. Além de ter feito ótimas atuações no ataque, o camisa 12 ainda marcou três gols ao longo da campanha do título brasileiro. De quebra, o jogador também entrou para o Top 100 de atletas com mais partidas pelo Verdão em toda a história.
É um dos 16 jogadores da história que conseguiram conquistar o Paulista, o Brasileiro, a Copa do Brasil e a Libertadores pelo Palmeiras – os outros são os goleiros Weverton, Jailson, Marcos e Velloso, os zagueiros Luan, Gómez, Vitor Hugo e Cleber, o lateral Marcos Rocha, os meio-campistas Felipe Melo, Lucas Lima, Gustavo Scarpa e Zinho e os atacantes Dudu e Willian.",10 de novembro de 1992,Carangola (MG),"1,79 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0001_Mayke.png
Caio Fernando de Oliveira,Caio paulista,25 anos,Lateral-Esquerdo,16,"Caio Paulista é canhoto e se destaca pela versatilidade. Ponta-esquerda de origem, atuou como lateral-esquerdo no São Paulo, ao qual foi emprestado pelo Fluminense na última temporada — em 2023, disputou 50 jogos, com cinco gols e duas assistências, e se sagrou campeão da Copa do Brasil, sendo eleito o melhor ala-esquerdo da competição.
O atleta fez sua estreia profissional pelo Avaí, em 2018, e foi contratado pelo Fluminense em 2020, ainda como atacante. Ao longo de três temporadas no clube carioca, venceu a Taça Rio de 2020, a Taça Guanabara de 2022 e o Campeonato Carioca de 2022. O drible e a velocidade estão entre as suas principais características.",11 de maio de 1998,São Paulo (SP),"1,84 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2024/01/Caio-Paulista-4.png
Joaquín Piquerez Moreira,Joaquín piquerez,25 anos,Lateral-Esquerdo,22,"Com passagens pelas Seleções Uruguaias Sub-17 e Sub-23, Piquerez foi revelado pelo Defensor-URU e passou também pelo River Plate-URU antes de chegar ao Peñarol-URU, no começo de 2020. O jogador, que é o 21º uruguaio na história do Palmeiras, chegou ao clube em 2021 para substituir o compatriota Matías Viña, campeão paulista, da Copa do Brasil e da Libertadores pela equipe alviverde na temporada 2020.
Logo em seu primeiro ano no Verdão, repetiu parte do feito de Viña e conquistou o título da Libertadores, atuando como zagueiro na final contra o Flamengo, em Montevidéu, no Uruguai. Atualmente, o atleta é o 3º uruguaio com mais vitórias pelo Palmeiras (51, atrás de Diogo, com 62, e Villadoniga, com 85), além de ser figura constante na lista de convocados da Seleção Uruguaia.",24 de agosto de 1998,Montevidéu (URU),"1,83 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0002_Piquerez.png
Vanderlan Barbosa da Silva,Vanderlan,21 anos,Lateral-Esquerdo,6,"Polivalente, o garoto de 19 anos pode atuar tanto como lateral-esquerdo, sua posição no Sub-20, quanto como zagueiro ou mesmo aberto pelo lado esquerdo da linha ofensiva – ele já desempenhou as três funções na base palmeirense e foi bastante prestigiado. Mas foi como lateral-esquerdo que ele esteve no time campeão da Copa São Paulo de Futebol Júnior de 2022.
Tricampeão paulista Sub-20 pela base, o lateral-esquerdo participou de um jogo na campanha do título do Campeonato Paulista 2022 profissional. Na campanha hendecacampeonato brasileiro, foram 13 partidas (sete como títular),  um gol e uma assistência. O jovem recebeu muitos elogios do técnico Abel Ferreira, que o colocou como opção imediata às ausências do titular Piquerez.
Desde sua chegada ao clube para o Sub-15, em 2017, Vanderlan conquistou diversos títulos com a camisa alviverde, sendo alguns deles o Mundial de Clubes Sub-17, a Copa do Brasil Sub-17 e a Supercopa Sub-17, além de outras conquistas nacionais e internacionais.",7 de setembro de 2002,Brumado (BA),"1,84 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/01/Vanderlan-4.png
Aníbal Ismael Moreno,Aníbal moreno,24 anos,Meio-Campista,5,"Formado nas categorias de base do Newell's Old Boys-ARG, onde permaneceu de 2013 a 2021, Aníbal fez sua estreia profissional em 2019. Contratado pelo Racing, clube pelo qual disputou mais de cem partidas desde 2021, firmou-se como titular absoluto e conquistou o Trofeo de Campeones e a Supercopa Internacional de 2022.
O jovem acumula convocações para as equipes Sub-18, Sub-20 e Sub-23 da Seleção Argentina, conquistando em 2019 o Sul-Americano Sub-20 e a medalha de ouro nos Jogos Pan-Americanos de Lima (PER). Ele também integrou treinamentos da Seleção Principal da Argentina em preparação à Copa do Mundo da Rússia, em 2018.
Aníbal tem o poder de marcação, a visão de jogo e a qualidade nos passes como algumas de suas principais características. Em 2023, disputou 32 partidas, com três assistências e três gols marcados.",13 de maio de 1999,Catamarca (ARG),"1,78 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0009_Anibal-Moreno.png
Fabio Silva de Freitas,Fabinho,21 anos,Meio-Campista,35,"Um dos nomes da talentosa geração de atletas nascidos em 2002 do Alviverde, o volante atuou em dez jogos do time profissional na temporada 2021 (nove pelo Paulista e um pelo Brasileiro) e seis em 2022 (dois pela Libertadores e quatro pelo Brasileiro).
No Verdão desde 2015, Fabinho acumula diversas conquistas pelo clube, como a recente Copa São Paulo de Futebol Júnior (2022), o bicampeonato mundial de clubes Sub-17 (2018 e 2019), os Paulistas Sub-15 (2017), Sub-17 (2018) e Sub-20 (2020 e 2021), a Copa do Brasil Sub-17 (2019) e a Supercopa Sub-17 (2019), além de outros títulos internacionais.",9 de abril de 2002,Natal (RN),"1,78 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/01/FABINHO-2.png
Gabriel Vinicius Menino,Gabriel menino,23 anos,Meio-Campista,25,"Com a conquista do título do Campeonato Brasileiro 2023, Gabriel Menino pulou da quinta para a quarta colocação entre os atletas formados na base do Palmeiras com mais títulos pelo clube (nove, ao lado de Oberdan e atrás apenas de Lima e Waldemar Fiume, com 11, e Junqueira, com 12).
Talvez nem nos melhores sonhos o jovem Gabriel Menino imaginava que seu primeiro ano como atleta profissional seria tão laureado. Cria da Academia que mais entrou em campo na temporada 2020, ele foi o líder do time em assistências (dez), vice-líder em assistências para finalização, vice-líder em interceptações de jogadas do adversário, terceiro em dribles e quarto em desarmes. O protagonismo foi evidente também nos jogos que garantiram a Tríplice Coroa ao Verdão: titular nas finais do Paulista e da Libertadores, entrou no segundo tempo da decisão da Copa do Brasil e marcou o gol que selou a vitória por 2 a 0 sobre o Grêmio.
Ambidestro, Menino chama a atenção pelo dinamismo em campo, pelo potente chute de longa distância e pela polivalência. Além de fazer todas as funções do meio-campo, pode atuar como lateral-direito (posição na qual foi convocado para a Seleção Brasileira) e na linha ofensiva pelo lado direito (como no caso da final da Libertadores 2020).
Na competição continental, aliás, a prata da casa brilhou ainda mais forte. Eleito para a seleção ideal do torneio na temporada 2020, disputou 12 dos 13 jogos (11 como titular) e fez três gols – o primeiro deles, que foi também o seu primeiro no time de cima do Verdão, contra o Bolívar-BOL, coloca o atleta como o quinto palmeirense mais jovem a balançar a rede na história da Libertadores, com 19 anos, 11 meses e 16 dias – o recorde é de Gabriel Veron, que com 18 anos, um mês e 19 dias deixou sua marca contra o Tigre-ARG, também em 2020, enquanto Gabriel Jesus é o segundo com o gol aos 18 anos, 10 meses e 13 dias contra o River Plate-URU, em 2016, Renan o terceiro com o tento anotado aos 18 anos, 11 meses e 2 dias contra o Universitario-PER, em 2021, e Danilo o quarto ao marcar contra o Delfín-EQU, em 2020, aos 19 anos, 7 meses e 13 dias.
Menino foi captado pela base do Palmeiras em 2017 após destacar-se no Guarani. Em seu primeiro ano de clube, ajudou o Sub-17 a conquistar o título inédito da Copa do Brasil no Pacaembu. Pelo Sub-20, decolou e recebeu várias convocações para a Seleção Brasileira da categoria – chegou a disputar o Sul-Americano de 2019. Faturou também o Campeonato Brasileiro Sub-20 em 2018 e três títulos paulistas seguidos (2018 e 2019 pelo Sub-20 e 2020 pelo Profissional).",29 de setembro de 2000,Morungaba (SP),1.80 m,https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2020/01/Gabriel-Menino-11.png
Jhonatan dos Santos Rosa,Jhon jhon,21 anos,Meio-Campista,40,"De vínculo estendido com o Verdão até 2026, o atleta de 20 anos chegou ao Alviverde em maio de 2021 e tomou conta da armação do meio-campo do Sub-20, sendo um dos atletas mais assíduos do time na sua temporada de estreia. Ao todo, foram 29 jogos disputados, com cinco gols marcados e oito assistências (maior garçom da categoria ao lado de Gabriel Silva).
Com visão de jogo apurada, o meio-campista costumava treinar com o elenco profissional palmeirense com frequência e estreou pelo time treinado por Abel Ferreira diante do Ceará, pela 38ª rodada do Campeonato Brasileiro de 2021.
Em 2022, foi um dos pilares do time campeão de forma inédita da Copa São Paulo de Futebol Júnior. Além disso, Jhon Jhon chegou a ser relacionado para jogos do Alviverde no Paulista, fazendo parte do elenco que conquistou o Estadual pela 24ª vez na história.
Antes de chegar ao Palmeiras, o meia já atuou profissionalmente em quatro jogos pelo Primavera-SP pela Série A3 do Paulista, com um gol marcado.",9 de setembro de 2002,Vitória (ES),"1,77 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0010_Jhon-Jhon.png
Luis Guilherme Lira dos Santos,Luis guilherme,18 anos,Meio-Campista,31,"Veloz e versátil, o meio-campista Luis Guilherme chegou ao Palmeiras em 2017 e foi campeão por todas as categorias de base do clube antes de ser integrado ao elenco profissional. O atleta pode atuar tanto centralizado quanto pelas pontas do campo, destacando-se pelos gestos técnicos apurados com a perna esquerda. Mesmo com a pouca idade, ele já soma convocações para a Seleção Brasileira Sub-20, tendo sido o camisa 10 na caminhada do título do Sul-Americano da categoria em fevereiro de 2023.
Luis Guilherme estreou na vitória por 4 a 2 sobre o Tombense-MG, pela Copa do Brasil de 2023, e tem recebido cada vez mais oportunidades no elenco comandado pelo técnico Abel Ferreira. Pela base do Verdão, faturou a Copa São Paulo de Futebol Júnior duas vezes (2022 e 2023), o Campeonato Brasileiro Sub-17 (2022), a Copa do Brasil Sub-17 (2022), o Campeonato Paulista Sub-17 (2022), o Campeonato Paulista Sub-15 (2019 e 2021), o Campeonato Paulista Sub-13 (2018) e o Campeonato Paulista Sub-11 (2017).",9 de fevereiro de 2006,Aracaju (SE),"1,75 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/07/Luis-Guilherme-2.png
Raphael Cavalcante Veiga,Raphael veiga,28 anos,Meio-Campista,23,"Segundo maior artilheiro do Palmeiras neste século, atrás apenas de Dudu, é ainda o maior artilheiro do Allianz Parque com 46 gols e está no top 50 de maiores artilheiros da história do Palmeiras. Veiga é também o segundo maior artilheiro do Palmeiras na história da Libertadores (17 gols), atrás apenas de Rony (21), e o 2º na era dos pontos corridos do Brasileiro (36,  atrás de Dudu, com 53). Está também no Top 10 do ranking de maiores campeões pelo clube, ao lado de Luan, Zé Rafael, Rony e o ex-volante Dudu (Olegário Tolói de Oliveira), todos com 10 títulos na 10ª posição. 
Além disso, Raphael Veiga perdeu apenas seis pênaltis pelo Palmeiras, seja no tempo regulamentar ou em disputas eliminatórias – foram 40 oportunidades, sendo 34 durante os 90 minutos de jogo e seis em decisões por penalidades máximas. Por conta disso, é o jogador que mais fez gols de pênalti no tempo regulamentar pelo Verdão neste século: 30 no total. Mas o maior prêmio, sem dúvida, foi ter realizado o desejo do avô palestrino pouco antes de falecer:
“Meu avô era muito palmeirense. Fanático, ia a todos os jogos. Quando ele estava na cama da UTI e eu estava saindo do quarto, ele me pediu para voltar e disse: ‘Vou te pedir uma coisa: se você tiver oportunidade, jogue no Palmeiras’. Eu o cumprimentei e não o vi mais”, contou, emocionado, em sua apresentação na Academia de Futebol. “Desde pequeno, convivi neste ambiente verde e branco. E para o senhor, vô, eu te dou esse título! Sem o senhor, eu não seria palmeirense! Valeu a pena cada suor, cada dia nublado, para cumprir minha promessa. Espero, do fundo do meu coração, que aí do céu o senhor esteja muito feliz! Eu te amo!”, escreveu, após a tão sonhada reconquista da América pela temporada 2020.
Raphael Veiga foi revelado pelo Coritiba, onde trabalhou e aprendeu muito com o ídolo palestrino Alex – lá, inclusive, era comparado ao ex-camisa 10 justamente por ser um talentoso meia armador canhoto. Mal poderia imaginar que depois de 21 anos ele repetiria o feito do amigo ao conquistar a Libertadores pelo Verdão, também como titular da equipe na grande decisão.
Contratado pelo Maior Campeão do Brasil em 2017, o torcedor do Palmeiras na infância foi emprestado ao Athletico-PR em 2018 para ganhar experiência e, após um 2019 de readaptação, teve uma temporada 2020 brilhante pelo seu clube de coração: um dos três palmeirenses a fazer gols em todas as competições regulares do ano, assim como Luiz Adriano e Gustavo Gómez, foi vice-artilheiro do time no geral com 18 gols (ao lado de Willian e atrás apenas de Luiz Adriano, com 20), artilheiro do time no Brasileirão (11 gols, seguido por Luiz Adriano, com 10) e artilheiro (quatro gols) e garçom (duas assistências, uma em cada partida das finais) na Copa do Brasil – competição na qual foi o único presente em todas as partidas e da qual foi eleito o melhor jogador pela CBF.
Em 2021, Veiga teve uma temporada inesquecível, fazendo muitos gols decisivos e entrando de vez para a história do clube ao conquistar a Libertadores pela segunda vez com o Verdão. Na grande final contra o Flamengo, no Uruguai, o camisa 23 marcou o primeiro gol da vitória por 2 a 1 logo aos cinco minutos do primeiro tempo. Desgastado fisicamente, acabou deixando a partida antes do início da prorrogação para a entrada de Deyverson, justamente o autor do gol do título palmeirense.
Individualmente, o meio-campista também levantou troféus em 2021. Levou a Bola de Prata, foi eleito o melhor meia do Campeonato Brasileiro pela CBF (Confederação Brasileira de Futebol) e fez parte da seleção da Libertadores eleita pela CONMEBOL.
Já em 2022, Veiga atingiu a sua melhor média de gols marcados desde a sua chegada ao Palmeiras: 0,43 (21 gols em 48 partidas), superando 2021 e 2020, quando o camisa 23 chegou à marca de 0,3 tento por duelo (21 gols em 67 partidas e 15 gols em 42 partidas, respectivamente). Além disso, foi o único jogador do elenco a balançar as redes em todas as competições disputadas: Paulista (7), Copa do Brasil (2), Libertadores (6), Brasileiro (3), Recopa (1), Mundial de 2021 (2).",19 de junho de 1995,São Paulo (SP),1.78 m,https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/Veiga-4.png
Richard Ríos Montoya,Richard ríos,23 anos,Meio-Campista,27,"Richard Ríos jogou futsal até os 18 anos e, após se destacar pela Seleção Colombiana em um campeonato no Rio de Janeiro, foi contratado para o Sub-20 do Flamengo, em 2018. Disputou sete partidas pela equipe profissional em 2020 e, no ano seguinte, foi emprestado ao Mazatlán, do México. Em 2022, transferiu-se para o Guarani, pelo qual disputou a Série B do Campeonato Brasileiro.
No Campeonato Paulista de 2023, o meio-campista chamou a atenção pela versatilidade: fez dois gols, deu uma assistência e foi um dos líderes do torneio em desarmes e passes-chave (que geram situação de gol).
Ríos é o segundo colombiano do elenco, juntando-se a Atuesta, e o décimo da história palestrina – os oito anteriores foram Rincón, Lozano, Asprilla, Muñoz, Armero, Mina, Borja e Angulo, que está emprestado ao Orlando City-EUA.",2 de junho de 2000,Vegachí (COL),"1,85 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0006_Rios.png
José Rafael Vivian,Zé rafael,30 anos,Meio-Campista,8,"Um dos destaques do atual elenco do Palmeiras, Zé Rafael está no Top 10 do ranking de maiores campeões pelo clube, ao lado de Luan, Raphael Veiga, Rony e o ex-volante Dudu (Olegário Tolói de Oliveira), todos com 10 títulos na 10ª posição. 
Filho de palmeirenses e torcedor do Verdão desde a infância, Zé Rafael chegou à Academia de Futebol em 2019 e teve papel fundamental na temporada mais vitoriosa da história do clube. Quinto colocado na lista de maiores garçons de 2020 com sete assistências, ele foi um dos seis jogadores que foram titulares nas três partidas decisivas do Paulista, da Copa do Brasil e da Libertadores, ao lado de Weverton, Marcos Rocha, Gustavo Gómez, Matías Viña e Luiz Adriano.
Apelidado carinhosamente de “trem” pelos companheiros de elenco, Zé contribui bastante com sua força física e qualidade técnica, tanto que foi o líder da equipe em desarmes na temporada 2021 e o terceiro em dribles. No geral, é o quarto colocado na lista de maiores garçons do elenco com 24 assistências, atrás de Marcos Rocha (35), Raphael Veiga (38) e Dudu (102).
Presente em 10 das 13 partidas do Palmeiras na Libertadores 2021, sendo oito como titular, Zé é outro meio-campista formado no Coritiba que, assim como Raphael Veiga, teve o prazer de conviver e aprender com o ídolo Alex no clube paranaense e a repetir o feito do ex-camisa 10 de conquistar a América pelo Maior Campeão do Brasil, mas de uma forma ainda melhor: duas vezes seguidas.",16 de junho de 1993,Ponta Grossa (PR),"1,75 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/0005_Ze-Rafael.png
Breno Henrique Vasconcelos Lopes,Breno lopes,28 anos,Atacante,19,"Predestinado, Breno Lopes só precisou de 17 partidas para ser eternizado na história do Palmeiras como um dos heróis da conquista da Libertadores 2020. A cabeçada certeira aos 53 minutos do segundo tempo na final contra o Santos, no Maracanã, jamais sairá da memória dos palmeirenses.
Mineiro de Belo Horizonte-MG, Breno foi revelado pelo Joinville-SC, time pelo qual se profissionalizou em 2016. No mesmo ano, foi emprestado ao Juventus de Jaraguá do Sul-SC e retornou mais experiente em 2017. A partir de então, ganhou minutos em campo e deixou sua marca algumas vezes na Série C do Brasileiro, chamando a atenção do Juventude-RS.
Em 2019, disputou a Série C pelo time de Caxias do Sul e, emprestado, a Série B pelo Figueirense-SC. Em 2020, após novo empréstimo ao Athletico-PR, regressou ao Juventude-RS e chamou a atenção do Palmeiras ao alcançar a vice-artilharia da Série B. Foi contratado pelo Verdão em novembro de 2020 e disputou cinco jogos na Libertadores 2020. Atuou em três partidas do torneio internacional na edição de 2021, também vencida pelo Verdão.",24 de janeiro de 1996,Belo Horizonte (MG),"1,78 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2020/11/Breno-Lopes-14.png
Bruno Rafael Rodrigues do Nascimento,Bruno rodrigues,26 anos,Atacante,11,"Destaque do Cruzeiro nas duas últimas temporadas e autor de 13 gols e sete assistências em 2023, Bruno Rodrigues foi o segundo reforço do Palmeiras para 2024. Habilidoso, o atacante mostrou versatilidade ao atuar em diversas funções diferentes no setor ofensivo durante sua passagem pelo clube mineiro.
Revelado pelo Athletico-PR, onde se profissionalizou em 2017, Bruno foi negociado com o Tombense-MG em 2020 e teve passagens por Joinville, Doxa (Chipre), Paraná, Ponte Preta, São Paulo e Famalicão (Portugal) antes de chegar ao Cruzeiro, no segundo semestre de 2022. Ele se destacou no returno da Série B daquele ano e terminou a temporada de 2023 como principal artilheiro e garçom da equipe mineira.",7 de março de 1997,Ceará-Mirim (RN),"1,77 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2024/01/Bruno-Rodrigues.png
Eduardo Pereira Rodrigues,Dudu,32 anos,Atacante,7,"Dudu é atualmente o jogador com mais títulos pelo Palmeiras (12 taças no total), ao lado de Junqueira e Ademir da Guia. Contratado em 2015, o camisa 7 acumula os títulos da Copa do Brasil (2015), do Campeonato Brasileiro (2016, 2018, 2022 e 2023), da Libertadores (2020 e 2021), do Campeonato Paulista (2020, 2022 e 2023), da Recopa Sul-Americana (2022) e da Supercopa do Brasil (2023). Em Brasileiro, é o terceiro com quatro conquistas, ao lado de César Maluco e atrás de Dudu - Olegário Toloi de Oliveira e Ademir da Guia, com cinco.

Jogador do elenco com mais jogos (443), vitórias (260), gols (88) e assistências (102), Dudu também é o artilheiro do clube no século, além de ser o mais vitorioso e o atleta com mais jogos. No geral, integra o top 20 de atletas com mais jogos e gols na história do Verdão e o top 5 de atacantes com mais duelos e triunfos pela equipe palestrina.
No Allianz Parque, casa alviverde, Dudu é o principal protagonista, sendo o jogador com mais jogos (197), vitórias (139) e assistências (50), além de ser o segundo com mais gols (40, atrás de Raphael Veiga, com 46). Já nas competições oficiais, o atleta aparece como 3º com mais jogos e 3º com mais vitórias pela Libertadores, 2º com mais jogos, 1º com mais vitórias e 2º com mais gols pelo Brasileiro, além de ser o artilheiro do clube em Brasileiros por pontos corridos (desde 2003), o 5º com mais jogos, 3º com mais vitórias e 7º com mais gols pela Copa do Brasil e o 1º com mais jogos e com mais gols pelo Paulista neste século.
Disputado pelos rivais Corinthians e São Paulo, Dudu acabou seduzido pelo projeto do Palmeiras e, até hoje, faz questão de destacar que foi a melhor escolha da carreira. Em 2015, logo seu ano de estreia no Verdão, foi campeão da Copa do Brasil marcando duas vezes na finalíssima contra o Santos.
Em 2016, conquistou o Campeonato Brasileiro sendo líder de assistências do time (com dez), foi eleito o melhor atacante do Brasil por todas as premiações (inclusive levando a Bola de Prata) e voltou a ser convocado para a Seleção Brasileira – a última vez havia sido em 2011, quando defendia o Dínamo de Kiev-UCR. No ano seguinte, faturou mais uma Bola de Prata na campanha do vice-campeonato brasileiro.
A temporada de 2018, por sua vez, colocou definitivamente o Baixinho na galeria dos grandes ídolos da história do Palestra. Campeão nacional novamente como garçom da equipe (14 assistências), foi o grande protagonista da competição – não à toa, levou a Bola de Ouro de melhor jogador do Campeonato Brasileiro.
Em 2019, foi o palmeirense com mais jogos (65), gols (13, ao lado de Gustavo Scarpa) e assistências (18). E em 2020, participou do início das campanhas vitoriosas do Campeonato Paulista e da Libertadores, superando a marca de 300 partidas pelo Verdão e se consolidando como o artilheiro alviverde no Século 21 e o maior goleador do clube na história do Brasileiro de pontos corridos, além de ser o atleta que mais jogou, mais venceu, mais fez gol e mais deu assistências no Allianz Parque.
Cedido por um ano para o Al Duhail, do Catar, na maior operação de empréstimo da história do clube, reintegrou-se ao elenco no segundo semestre de 2021 e realizou um grande sonho: conquistou o título da Libertadores estando em campo. O atacante foi titular na vitória por 2 a 1 contra o Flamengo, no Uruguai.",7 de janeiro de 1992,Goiânia (GO),"1,67 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2019/05/DUDU-10.png
Endrick Felipe Moreira de Sousa,Endrick,17 anos,Atacante,9,"Uma das grandes promessas das categorias de base do Palmeiras, Endrick chegou ao clube em 2016 com apenas 11 anos de idade. Apesar de jovem, o garoto logo se destacou pela qualidade técnica e facilidade em fazer gols, conquistando dois títulos importantes pelo Sub-11: Campeonato Paulista e Bellmare Cup (Japão).
Nos anos seguintes, a promessa seguiu sendo destaque em outras categorias e voltou a erguer troféus pelo Maior Campeão do Brasil: Campeonato Brasileiro Sub-20 e Copa do Brasil Sub-17 (2022); Paulistas Sub-13, Sub-15 (duas vezes) e Sub-20; Nike Premier Cup Sub-15; Mito HollyHock Cup Sub-13 (Japão); Taça Brasil de Campo Bom Sub-13; Copa Ouro Sub-13 e Copa São Ludgero Sub-13, além do Torneio de Montaigu Sub-17 pela Seleção Brasileira.
Em 2022, quando tinha apenas 15 anos de idade, Endrick passou a ser conhecido mundialmente após ser um dos principais nomes do Palmeiras na conquista inédita da Copa São Paulo de Futebol Júnior. Ele foi o artilheiro do Alviverde no torneio com seis gols em sete jogos. No total, o garoto possui 188 partidas e 161 gols pelas categorias de base do Verdão, incluindo duelos por Sub-11, Sub-13, Sub-15, Sub-17 e Sub-20 - este levantamento contabiliza jogos oficiais e amistosos. Considerando apenas jogos oficiais, são 121 partidas e 86 gols.
Ao fazer a sua estreia como jogador profissional diante do Coritiba, aos 16 anos, dois meses e 15 dias, Endrick se tornou o atleta mais jovem a atuar pelo Palmeiras em toda a história, superando Rodrigo Taddei, que entrou em campo pelo clube aos 16 anos, 3 meses e 5 dias (Botafogo-RJ 1x1 Palmeiras, em 11/06/1996). Além disso, ao anotar o seu primeiro gol pelo time profissional diante do Athletico-PR aos 16 anos, 3 meses e 4 dias de idade, o garoto também passou a ser o palmeirense mais jovem a balançar a rede, superando Heitor, que anotou o seu primeiro gol aos 16 anos, 11 meses e 14 dias (Palestra Italia 4x1 A.A.das Palmeiras, em 03/12/1916).
O atacante alviverde também é o jogador mais jovem a marcar um gol na era dos pontos corridos do Campeonato Brasileiro: 16 anos, 3 meses e 4 dias, superando Jô, que marcou aos 16 anos, 5 meses e 4 dias pelo Corinthians, em 2003.
Com a conquista do Brasileiro de 2022, Endrick se tornou o primeiro atleta da história a ganhar títulos pelo Verdão em todas as categorias (Sub-11, Sub-13, Sub-15, Sub-17, Sub-20 e Profissional).",21 de julho de 2006,Brasília (DF),"1,71 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2023/01/ENDRICK-3.png
Estêvão Willian Almeida de Oliveira Gonçalves,Estêvão,16 anos,Atacante,41,"Estêvão chegou ao Palmeiras em 2021 após se destacar pela base do Cruzeiro. O atacante rapidamente mostrou sua qualidade técnica, chamando a atenção pelo refinado controle de bola em velocidade, pelos dribles em direção ao gol e pela capacidade de finalização de diferentes distâncias. Canhoto, o atleta atua preferencialmente pelo lado direito do ataque, cortando para dentro, mas também tem facilidade para atuar como meia centralizado.
O desempenho acima da média e o poder de decisão o fizeram ser frequentemente utilizado em categorias acima de sua idade - participou, por exemplo, da conquista da Copa São Paulo de Futebol Júnior de 2023 quando tinha apenas 15 anos. Faturou outros importantes títulos pela base, como os Paulistas Sub-15 (2021 e 2022), Sub-17 (2022) e Sub-20 (2023), a Copa do Brasil Sub-17 (2022 e 2023) e o Campeonato Brasileiro Sub-17 (2022 e 2023). Em 2022, foi convocado pela primeira vez para a Seleção Brasileira Sub-17 e, no ano seguinte, disputou o Mundial da categoria.
Na última rodada do Campeonato Brasileiro de 2023, Estêvão foi utilizado por Abel Ferreira no segundo tempo do empate por 1 a 1 com o Cruzeiro e se tornou o terceiro atleta mais jovem a entrar em campo pelo profissional do Verdão, com 16 anos, sete meses e 12 dias, superando Vinicius (16 anos, sete meses e 21 dias) e ficando atrás apenas de Rodrigo Taddei (16 anos, três meses e cinco dias) e Endrick (16 anos, dois meses e 16 dias).",24 de abril de 2007,Franca (SP),"1,70 m",https://sep-bucket-prod.s3.amazonaws.com/wp-content/uploads/2024/01/Estevao-4.png
