_id,numero_de_camisa_preferido,tamanho_do_sapato,quantidade_de_filhos,altura,peso,cidade_de_nascimento,renda,comida_favorita,bebida_favorita,look_que_mais_combina,videogame_favorito,tempo_de_associacao_torcedor_m,modalidade_esportiva_interesse,interesse_em_merchandising,canal_de_comunicacao_preferido
58,4,35,4,182,74,amazonas,0 a 1500,Bacalhau,Refrigerante,moderno,call_of_duty,25,futebol,verdadeiro,whatsapp
59,2,29,6,204,82,pará,0 a 1500,Hambúrguer,Caipirinha,vintage,call_of_duty,11,atletismo,verdadeiro,email
60,8,21,2,163,112,goiás,0 a 1500,Feijoada,Leite,esportivo,fortnite,5,volei,falso,sms
61,26,35,1,188,79,alagoas,0 a 1500,Pizza,Chá,alternativo,minecraft,2,golfe,verdadeiro,email
62,5,43,5,202,57,amazonas,0 a 1500,Tacos,Leite,elegante,fortnite,40,basquete,falso,sms
63,21,28,3,209,55,rondônia,2501 a 5000,Tacos,Água,casual,fortnite,51,atletismo,falso,sms
64,25,27,1,209,96,rio_grande_do_sul,2501 a 5000,Sushi,Chá,moderno,fifa,17,golfe,verdadeiro,email
65,3,28,6,156,71,mato_grosso_do_sul,0 a 1500,Feijoada,Café,moderno,pes,29,volei,falso,sms
66,2,20,7,194,101,rio_de_janeiro,0 a 1500,Salada,Chá,casual,fortnite,23,basquete,falso,email
67,21,23,2,169,69,sergipe,0 a 1500,Tacos,Água,casual,call_of_duty,32,golfe,verdadeiro,sms
68,8,21,5,203,94,piauí,1501 a 2500,Sushi,Refrigerante,casual,fortnite,53,atletismo,falso,sms
69,22,31,6,160,115,maranhão,2501 a 5000,Bacalhau,Refrigerante,esportivo,pes,42,volei,verdadeiro,sms
70,14,26,1,204,94,roraima,2501 a 5000,Acarajé,Cerveja,esportivo,fifa,33,boxe,falso,whatsapp
71,10,27,2,210,47,rondônia,1501 a 2500,Bacalhau,Café,esportivo,fortnite,31,tenis,verdadeiro,whatsapp
72,3,36,6,174,124,amapá,0 a 1500,Salada,Vinho,alternativo,minecraft,24,boxe,falso,email
73,20,27,3,156,58,pará,0 a 1500,Feijoada,Smoothie,alternativo,minecraft,41,atletismo,verdadeiro,sms
74,15,29,1,188,103,mato_grosso,1501 a 2500,Pizza,Refrigerante,elegante,fortnite,20,ciclismo,falso,email
75,18,24,1,159,106,sergipe,0 a 1500,Churrasco,Vinho,urbano,minecraft,30,futebol,falso,sms
76,13,24,3,190,108,piauí,2501 a 5000,Sushi,Smoothie,moderno,fifa,6,futebol,falso,email
77,5,22,2,153,93,paraná,1501 a 2500,Pizza,Smoothie,casual,call_of_duty,64,golfe,verdadeiro,whatsapp
78,7,43,4,175,67,sergipe,0 a 1500,Sushi,Café,esportivo,fifa,2,basquete,verdadeiro,whatsapp
79,17,39,3,191,42,maranhão,1501 a 2500,Lasanha,Smoothie,elegante,pes,52,basquete,falso,email
80,19,41,2,209,85,ceará,0 a 1500,Hambúrguer,Vinho,alternativo,minecraft,35,atletismo,falso,sms
81,3,37,3,206,125,espírito_santo,0 a 1500,Hambúrguer,Vinho,moderno,call_of_duty,23,volei,falso,sms
82,3,23,6,203,81,distrito_federal,2501 a 5000,Acarajé,Vinho,casual,minecraft,36,futebol,verdadeiro,email
83,21,23,6,161,71,rio_grande_do_sul,1501 a 2500,Tacos,Smoothie,casual,call_of_duty,59,ciclismo,verdadeiro,email
84,11,34,7,159,45,mato_grosso_do_sul,1501 a 2500,Hambúrguer,Leite,esportivo,pes,17,futebol,falso,whatsapp
85,13,38,4,211,109,espírito_santo,1501 a 2500,Feijoada,Água,moderno,minecraft,17,natação,falso,sms
86,16,35,3,158,115,tocantins,0 a 1500,Bacalhau,Leite,alternativo,fifa,53,volei,falso,whatsapp
87,26,29,6,162,116,bahia,1501 a 2500,Bacalhau,Leite,casual,call_of_duty,27,volei,falso,whatsapp
88,13,29,2,156,61,goiás,1501 a 2500,Salada,Café,casual,minecraft,57,atletismo,verdadeiro,whatsapp
89,12,23,5,204,121,santa_catarina,1501 a 2500,Hambúrguer,Café,esportivo,pes,33,atletismo,verdadeiro,whatsapp
90,21,38,5,197,117,paraná,1501 a 2500,Pizza,Café,elegante,minecraft,12,basquete,verdadeiro,whatsapp
91,20,23,1,211,89,piauí,0 a 1500,Sushi,Água,alternativo,pes,52,boxe,verdadeiro,sms
92,19,40,5,195,54,mato_grosso,0 a 1500,Lasanha,Caipirinha,elegante,fortnite,4,natação,falso,whatsapp
93,5,41,7,155,82,piauí,1501 a 2500,Sushi,Cerveja,moderno,fortnite,24,tenis,falso,email
94,1,40,4,180,56,espírito_santo,0 a 1500,Lasanha,Smoothie,urbano,fifa,24,natação,falso,sms
95,1,37,5,209,65,maranhão,5001 a 10000,Bacalhau,Suco,alternativo,minecraft,57,natação,falso,sms
96,13,24,3,204,53,mato_grosso_do_sul,1501 a 2500,Lasanha,Caipirinha,vintage,pes,14,boxe,falso,whatsapp
97,15,28,7,206,50,piauí,0 a 1500,Bacalhau,Água,alternativo,call_of_duty,5,ciclismo,verdadeiro,email
98,11,35,7,181,86,mato_grosso_do_sul,0 a 1500,Lasanha,Cerveja,casual,pes,37,basquete,falso,sms
99,6,20,3,170,125,sergipe,2501 a 5000,Sushi,Leite,vintage,fifa,59,futebol,falso,whatsapp
100,12,38,2,179,121,alagoas,0 a 1500,Pizza,Caipirinha,urbano,minecraft,53,basquete,falso,email
101,16,40,4,168,114,ceará,0 a 1500,Bacalhau,Chá,vintage,minecraft,18,atletismo,verdadeiro,whatsapp
102,5,22,4,160,64,ceará,0 a 1500,Churrasco,Caipirinha,urbano,call_of_duty,45,basquete,verdadeiro,whatsapp
103,24,29,2,205,73,rio_grande_do_norte,2501 a 5000,Acarajé,Leite,elegante,pes,38,natação,verdadeiro,sms
104,20,30,6,207,46,distrito_federal,0 a 1500,Salada,Refrigerante,esportivo,fortnite,25,tenis,verdadeiro,whatsapp
105,26,31,6,200,93,santa_catarina,0 a 1500,Feijoada,Cerveja,esportivo,minecraft,57,basquete,falso,email
106,7,41,1,194,124,paraíba,1501 a 2500,Hambúrguer,Vinho,urbano,pes,8,ciclismo,verdadeiro,email
107,9,36,4,192,107,alagoas,0 a 1500,Lasanha,Smoothie,casual,minecraft,24,futebol,falso,whatsapp
108,26,28,3,191,89,pernambuco,0 a 1500,Churrasco,Refrigerante,vintage,minecraft,3,boxe,falso,whatsapp
109,15,36,7,170,83,roraima,2501 a 5000,Bacalhau,Cerveja,esportivo,minecraft,3,basquete,verdadeiro,whatsapp
110,19,30,3,160,127,ceará,1501 a 2500,Sushi,Café,esportivo,call_of_duty,50,basquete,verdadeiro,email
111,16,30,7,209,81,roraima,1501 a 2500,Lasanha,Suco,moderno,minecraft,43,golfe,verdadeiro,sms
112,13,29,1,180,47,minas_gerais,0 a 1500,Churrasco,Suco,moderno,call_of_duty,3,tenis,verdadeiro,sms
113,3,28,1,169,59,rio_grande_do_sul,0 a 1500,Sushi,Café,vintage,pes,2,natação,verdadeiro,sms
114,7,36,6,160,96,rio_grande_do_norte,1501 a 2500,Pizza,Vinho,urbano,fifa,6,tenis,falso,sms
115,2,33,6,184,72,paraná,0 a 1500,Pizza,Caipirinha,urbano,fortnite,39,futebol,verdadeiro,whatsapp
116,10,36,6,188,105,bahia,1501 a 2500,Acarajé,Chá,vintage,pes,24,volei,falso,sms
117,24,28,7,161,49,alagoas,0 a 1500,Sushi,Caipirinha,casual,call_of_duty,30,natação,verdadeiro,email
118,8,42,2,190,60,paraná,0 a 1500,Bacalhau,Smoothie,casual,call_of_duty,25,golfe,verdadeiro,email
119,12,23,4,188,60,mato_grosso,2501 a 5000,Sushi,Smoothie,urbano,fortnite,33,ciclismo,verdadeiro,whatsapp
120,26,21,7,159,88,minas_gerais,0 a 1500,Bacalhau,Suco,urbano,pes,64,boxe,verdadeiro,email
121,26,33,5,176,82,ceará,0 a 1500,Salada,Smoothie,elegante,fortnite,64,volei,falso,whatsapp
122,19,33,5,207,96,piauí,1501 a 2500,Feijoada,Cerveja,esportivo,pes,28,ciclismo,verdadeiro,email
123,16,25,2,169,72,rio_de_janeiro,0 a 1500,Hambúrguer,Cerveja,esportivo,fifa,4,boxe,verdadeiro,email
124,10,37,3,173,52,acre,0 a 1500,Churrasco,Água,urbano,fortnite,61,basquete,falso,sms
125,7,40,7,192,66,tocantins,1501 a 2500,Tacos,Suco,moderno,pes,32,golfe,falso,sms
126,9,32,2,172,108,sergipe,0 a 1500,Lasanha,Chá,elegante,fortnite,23,atletismo,verdadeiro,whatsapp
127,16,43,5,187,97,bahia,0 a 1500,Lasanha,Refrigerante,esportivo,fifa,9,basquete,verdadeiro,email
128,12,32,7,193,104,acre,0 a 1500,Hambúrguer,Leite,alternativo,call_of_duty,46,ciclismo,verdadeiro,whatsapp
129,21,27,6,164,56,piauí,1501 a 2500,Bacalhau,Água,moderno,minecraft,43,futebol,falso,email
130,9,40,2,170,101,amapá,2501 a 5000,Salada,Refrigerante,casual,fortnite,60,natação,falso,whatsapp
131,15,27,1,191,64,piauí,1501 a 2500,Pizza,Chá,moderno,minecraft,3,futebol,falso,email
132,16,22,1,153,60,ceará,0 a 1500,Bacalhau,Suco,esportivo,minecraft,23,ciclismo,falso,email
133,11,28,6,166,120,pará,1501 a 2500,Lasanha,Smoothie,elegante,fifa,50,volei,verdadeiro,whatsapp
134,15,29,3,180,58,rio_grande_do_norte,2501 a 5000,Hambúrguer,Caipirinha,vintage,call_of_duty,15,tenis,verdadeiro,sms
135,19,24,4,187,41,paraíba,1501 a 2500,Hambúrguer,Smoothie,urbano,fortnite,23,basquete,falso,sms
136,25,29,7,173,106,mato_grosso_do_sul,0 a 1500,Acarajé,Smoothie,alternativo,fifa,64,golfe,falso,email
137,23,31,3,199,107,tocantins,1501 a 2500,Churrasco,Leite,esportivo,fortnite,48,volei,falso,email
138,10,41,3,169,43,alagoas,0 a 1500,Churrasco,Smoothie,esportivo,fortnite,38,boxe,falso,sms
139,6,39,3,205,123,pará,0 a 1500,Sushi,Caipirinha,esportivo,fortnite,4,tenis,falso,whatsapp
140,1,41,7,178,84,santa_catarina,0 a 1500,Sushi,Vinho,casual,fifa,16,natação,verdadeiro,sms
141,7,28,5,164,88,alagoas,2501 a 5000,Sushi,Refrigerante,elegante,fortnite,21,atletismo,falso,email
142,26,39,2,176,43,pernambuco,1501 a 2500,Sushi,Chá,elegante,call_of_duty,67,futebol,falso,email
143,6,42,7,172,81,tocantins,0 a 1500,Tacos,Refrigerante,urbano,fifa,40,futebol,verdadeiro,email
144,8,31,3,173,44,goiás,0 a 1500,Lasanha,Café,alternativo,minecraft,12,golfe,verdadeiro,sms
145,26,37,1,163,60,mato_grosso,0 a 1500,Bacalhau,Vinho,vintage,call_of_duty,4,futebol,falso,email
146,13,38,1,203,85,amapá,1501 a 2500,Bacalhau,Vinho,esportivo,fifa,48,basquete,falso,whatsapp
147,12,27,7,160,81,maranhão,1501 a 2500,Salada,Leite,vintage,fifa,46,tenis,falso,email
148,5,26,6,153,125,rio_de_janeiro,0 a 1500,Hambúrguer,Chá,urbano,pes,33,ciclismo,verdadeiro,sms
149,18,40,4,178,119,goiás,2501 a 5000,Hambúrguer,Caipirinha,esportivo,call_of_duty,41,futebol,falso,email
150,8,25,3,161,109,piauí,0 a 1500,Lasanha,Café,casual,fifa,45,natação,verdadeiro,email
151,26,27,6,207,76,distrito_federal,2501 a 5000,Feijoada,Água,casual,minecraft,29,natação,falso,sms
152,13,39,3,208,108,mato_grosso,2501 a 5000,Tacos,Vinho,elegante,pes,65,golfe,falso,whatsapp
153,12,41,2,169,102,bahia,0 a 1500,Hambúrguer,Cerveja,elegante,minecraft,7,atletismo,verdadeiro,whatsapp
154,9,21,1,195,67,mato_grosso_do_sul,0 a 1500,Pizza,Cerveja,elegante,minecraft,65,basquete,falso,sms
155,17,25,5,176,126,pernambuco,0 a 1500,Hambúrguer,Água,esportivo,minecraft,24,futebol,verdadeiro,email
156,19,28,4,154,46,amazonas,2501 a 5000,Lasanha,Água,alternativo,minecraft,5,volei,falso,email
157,13,20,1,200,41,mato_grosso_do_sul,1501 a 2500,Feijoada,Suco,elegante,call_of_duty,14,boxe,verdadeiro,whatsapp
158,12,22,7,160,98,rondônia,1501 a 2500,Churrasco,Leite,alternativo,call_of_duty,12,natação,verdadeiro,sms
159,9,27,4,169,122,rio_de_janeiro,2501 a 5000,Salada,Cerveja,alternativo,fortnite,11,futebol,falso,sms
160,17,28,1,170,93,paraíba,0 a 1500,Bacalhau,Chá,urbano,pes,40,volei,falso,sms
161,23,42,3,173,92,rio_de_janeiro,0 a 1500,Acarajé,Chá,alternativo,minecraft,57,futebol,falso,sms
162,21,28,2,186,118,paraná,1501 a 2500,Lasanha,Caipirinha,esportivo,pes,24,ciclismo,falso,email
163,18,38,1,197,101,roraima,0 a 1500,Churrasco,Chá,vintage,fortnite,46,atletismo,falso,sms
164,26,29,2,202,46,alagoas,0 a 1500,Salada,Café,esportivo,fortnite,46,basquete,falso,whatsapp
165,22,29,3,175,120,mato_grosso_do_sul,0 a 1500,Bacalhau,Leite,vintage,pes,63,volei,falso,sms
166,4,36,6,165,59,espírito_santo,1501 a 2500,Sushi,Smoothie,esportivo,call_of_duty,54,basquete,verdadeiro,whatsapp
167,8,42,4,170,57,espírito_santo,1501 a 2500,Acarajé,Água,vintage,fortnite,32,volei,falso,whatsapp
168,4,33,2,186,58,paraná,0 a 1500,Salada,Chá,vintage,fifa,51,volei,verdadeiro,sms
169,5,30,1,189,109,sergipe,2501 a 5000,Pizza,Chá,moderno,minecraft,44,atletismo,verdadeiro,email
170,3,37,3,177,91,pernambuco,1501 a 2500,Pizza,Refrigerante,vintage,minecraft,47,ciclismo,falso,email
171,12,24,7,194,126,amazonas,0 a 1500,Churrasco,Vinho,moderno,call_of_duty,59,natação,falso,email
172,25,43,5,198,96,roraima,0 a 1500,Churrasco,Água,elegante,fortnite,23,boxe,verdadeiro,email
173,25,40,6,204,106,bahia,1501 a 2500,Salada,Chá,casual,fifa,26,golfe,falso,whatsapp
174,11,33,1,205,115,paraíba,2501 a 5000,Churrasco,Vinho,elegante,fortnite,60,basquete,verdadeiro,whatsapp
175,26,22,7,155,62,ceará,0 a 1500,Bacalhau,Cerveja,alternativo,call_of_duty,40,natação,verdadeiro,whatsapp
176,4,39,4,176,51,pará,0 a 1500,Lasanha,Água,esportivo,minecraft,8,atletismo,verdadeiro,whatsapp
177,12,43,1,192,115,amapá,1501 a 2500,Pizza,Vinho,casual,call_of_duty,61,atletismo,falso,email
178,6,33,7,182,43,acre,2501 a 5000,Hambúrguer,Caipirinha,urbano,pes,0,tenis,falso,email
179,12,39,6,205,82,bahia,0 a 1500,Tacos,Suco,elegante,pes,13,golfe,verdadeiro,email
180,22,42,5,177,60,acre,0 a 1500,Salada,Chá,moderno,fortnite,60,futebol,verdadeiro,whatsapp
181,26,30,2,185,118,piauí,2501 a 5000,Feijoada,Leite,vintage,minecraft,58,volei,falso,email
182,14,25,5,203,65,minas_gerais,2501 a 5000,Bacalhau,Leite,elegante,pes,3,atletismo,verdadeiro,whatsapp
183,23,25,1,200,107,rio_de_janeiro,0 a 1500,Acarajé,Água,vintage,fortnite,17,atletismo,falso,sms
184,8,32,5,169,100,goiás,0 a 1500,Feijoada,Refrigerante,moderno,pes,18,atletismo,verdadeiro,email
185,7,30,2,154,99,rondônia,0 a 1500,Salada,Suco,vintage,pes,37,boxe,verdadeiro,email
186,26,25,6,207,99,goiás,0 a 1500,Pizza,Cerveja,elegante,fortnite,12,golfe,verdadeiro,sms
187,25,27,4,187,86,sergipe,0 a 1500,Tacos,Caipirinha,elegante,fortnite,28,boxe,falso,email
188,18,29,3,202,81,rio_grande_do_sul,0 a 1500,Salada,Água,vintage,minecraft,65,atletismo,verdadeiro,email
189,16,32,4,189,72,rio_grande_do_sul,1501 a 2500,Salada,Café,vintage,call_of_duty,26,golfe,verdadeiro,whatsapp
190,24,25,7,182,75,pará,0 a 1500,Salada,Smoothie,esportivo,minecraft,44,golfe,falso,sms
191,19,31,5,163,92,goiás,1501 a 2500,Tacos,Água,casual,fifa,25,basquete,verdadeiro,whatsapp
192,11,21,3,157,86,distrito_federal,1501 a 2500,Sushi,Caipirinha,elegante,call_of_duty,32,ciclismo,verdadeiro,email
193,23,27,4,153,61,roraima,0 a 1500,Pizza,Refrigerante,urbano,fortnite,28,tenis,verdadeiro,email
194,24,27,4,189,64,acre,0 a 1500,Feijoada,Caipirinha,moderno,fifa,34,futebol,verdadeiro,whatsapp
195,15,41,5,189,57,pará,0 a 1500,Lasanha,Cerveja,moderno,fortnite,56,atletismo,falso,whatsapp
196,6,33,4,210,88,mato_grosso,0 a 1500,Hambúrguer,Leite,casual,call_of_duty,64,ciclismo,falso,email
197,14,24,6,196,79,são_paulo,0 a 1500,Bacalhau,Chá,elegante,fifa,11,basquete,falso,whatsapp
198,19,26,3,176,107,ceará,1501 a 2500,Tacos,Smoothie,casual,fifa,25,boxe,falso,sms
199,12,20,2,175,81,rio_de_janeiro,0 a 1500,Tacos,Suco,moderno,call_of_duty,9,ciclismo,verdadeiro,sms
200,26,26,5,157,105,amazonas,0 a 1500,Acarajé,Caipirinha,alternativo,fortnite,64,volei,falso,email
201,11,26,7,205,86,amapá,1501 a 2500,Hambúrguer,Cerveja,moderno,pes,63,natação,falso,whatsapp
202,2,27,7,202,55,rio_grande_do_norte,1501 a 2500,Hambúrguer,Vinho,esportivo,call_of_duty,54,ciclismo,verdadeiro,whatsapp
203,20,24,3,199,128,santa_catarina,1501 a 2500,Pizza,Café,casual,pes,11,futebol,falso,whatsapp
204,23,20,3,153,85,santa_catarina,1501 a 2500,Bacalhau,Café,esportivo,pes,61,atletismo,verdadeiro,email
205,9,25,4,169,88,são_paulo,0 a 1500,Sushi,Caipirinha,esportivo,fifa,50,ciclismo,falso,email
206,11,23,4,157,41,alagoas,0 a 1500,Sushi,Refrigerante,casual,minecraft,28,tenis,verdadeiro,email
207,11,26,5,174,112,mato_grosso,0 a 1500,Lasanha,Café,esportivo,fortnite,12,golfe,verdadeiro,sms
208,20,35,7,193,85,rio_grande_do_norte,0 a 1500,Sushi,Suco,moderno,pes,53,tenis,falso,sms
209,18,31,5,179,84,distrito_federal,1501 a 2500,Lasanha,Cerveja,casual,minecraft,11,ciclismo,verdadeiro,sms
210,23,37,3,153,40,paraná,0 a 1500,Lasanha,Refrigerante,casual,pes,12,golfe,verdadeiro,email
211,2,33,1,186,123,alagoas,0 a 1500,Tacos,Chá,moderno,call_of_duty,46,tenis,verdadeiro,sms
212,4,38,4,178,111,pernambuco,0 a 1500,Salada,Café,esportivo,pes,33,volei,verdadeiro,whatsapp
213,23,34,7,178,93,pernambuco,0 a 1500,Bacalhau,Leite,vintage,pes,48,basquete,falso,whatsapp
214,14,43,2,170,128,alagoas,0 a 1500,Tacos,Leite,moderno,minecraft,26,basquete,verdadeiro,email
215,20,29,7,184,94,distrito_federal,1501 a 2500,Lasanha,Leite,moderno,call_of_duty,57,volei,falso,email
216,24,41,4,193,123,goiás,0 a 1500,Salada,Café,vintage,pes,52,futebol,verdadeiro,whatsapp
217,11,36,7,163,127,paraíba,2501 a 5000,Feijoada,Água,vintage,pes,60,basquete,verdadeiro,sms
218,25,30,2,177,59,pará,0 a 1500,Sushi,Chá,esportivo,fifa,20,tenis,verdadeiro,email
219,9,41,1,158,69,rio_grande_do_sul,1501 a 2500,Tacos,Caipirinha,casual,minecraft,2,ciclismo,verdadeiro,whatsapp
220,5,43,4,191,72,rio_de_janeiro,5001 a 10000,Acarajé,Chá,casual,call_of_duty,40,tenis,falso,whatsapp
221,11,37,6,167,99,espírito_santo,1501 a 2500,Sushi,Caipirinha,alternativo,fifa,52,basquete,falso,whatsapp
222,3,43,1,182,121,piauí,0 a 1500,Sushi,Chá,moderno,call_of_duty,56,boxe,falso,sms
223,23,23,6,159,47,paraná,0 a 1500,Tacos,Smoothie,esportivo,fortnite,49,boxe,falso,email
224,20,33,1,174,86,espírito_santo,0 a 1500,Acarajé,Vinho,esportivo,fifa,39,tenis,verdadeiro,email
225,6,22,4,164,100,sergipe,0 a 1500,Salada,Leite,casual,minecraft,47,futebol,verdadeiro,whatsapp
226,12,42,2,184,125,paraná,0 a 1500,Pizza,Café,casual,fifa,30,atletismo,falso,whatsapp
227,12,24,6,186,113,pará,1501 a 2500,Bacalhau,Suco,moderno,call_of_duty,50,golfe,verdadeiro,sms
228,17,41,2,189,87,alagoas,0 a 1500,Acarajé,Vinho,casual,fifa,45,futebol,verdadeiro,email
229,1,26,1,175,56,amazonas,1501 a 2500,Lasanha,Chá,esportivo,fortnite,24,futebol,verdadeiro,sms
230,22,20,2,200,67,são_paulo,2501 a 5000,Churrasco,Refrigerante,esportivo,fortnite,18,ciclismo,falso,whatsapp
